,User,Job,,,,,UserId,Rating
57,560,45,2015-05-17 11:41:57,561,,,295,2
58,1856,45,2015-05-17 11:44:53,561,,,959,4
59,2104,46,2015-05-17 11:47:16,561,,,862,4
60,2124,49,2015-05-17 11:58:36,561,,,590,4
61,2064,49,2015-05-17 12:01:04,561,,,1130,4
62,1821,51,2015-05-17 12:15:28,561,,,324,3
63,1180,51,2015-05-17 12:16:45,561,,,755,3
64,833,51,2015-05-17 12:18:07,561,,,325,2
65,707,51,2015-05-17 12:18:22,561,,,1003,3
66,2135,51,2015-05-17 12:19:22,561,,,752,5
67,2195,53,2015-05-17 12:31:49,561,,,704,5
68,974,53,2015-05-17 12:32:30,561,,,529,2
69,2181,53,2015-05-17 12:33:12,561,,,811,2
70,1950,53,2015-05-17 12:34:54,561,,,799,5
72,1017,51,2015-06-02 15:17:03,2511,,,481,2
73,2315,32,2015-06-03 12:19:05,561,,,727,5
74,2628,60,2015-06-16 10:10:04,561,,,974,4
75,2410,64,2015-06-16 15:27:35,561,,,332,4
76,2653,66,2015-06-17 11:28:13,561,,,454,4
77,2608,66,2015-06-17 11:29:42,561,,,644,4
78,2695,66,2015-06-17 11:36:43,561,,,655,4
79,2410,66,2015-06-17 11:48:50,561,,,70,5
81,2206,59,2015-06-17 13:10:25,561,,,630,3
82,1534,68,2015-06-17 16:54:48,561,,,170,3
83,480,68,2015-06-17 16:56:07,561,,,396,3
84,2661,60,2015-06-18 09:46:11,561,,,1045,3
85,2746,64,2015-06-18 09:57:32,561,,,1058,3
87,2829,68,2015-06-24 15:31:07,561,,,663,5
88,1241,68,2015-06-24 15:36:09,561,,,65,4
89,365,67,2015-06-25 14:49:38,561,,,1085,5
90,2681,67,2015-06-25 14:52:55,561,,,1193,4
91,1370,66,2015-06-25 14:58:05,561,,,942,4
92,2630,66,2015-06-25 15:06:22,561,,,67,3
93,2798,66,2015-06-25 15:08:48,561,,,158,2
94,2723,60,2015-06-26 14:36:19,561,,,643,5
95,2727,73,2015-06-29 10:55:03,561,,,385,5
96,1180,74,2015-06-29 11:00:20,561,,,1021,5
97,2105,74,2015-06-29 11:10:41,561,,,747,4
98,2306,41,2015-06-29 13:41:43,561,,,498,5
99,2161,41,2015-06-29 13:50:51,561,,,326,4
100,1842,61,2015-07-01 10:15:13,2954,,,700,4
101,2561,61,2015-07-01 10:15:55,2954,,,1062,4
102,2630,61,2015-07-01 10:16:22,2954,,,980,1
103,2739,68,2015-07-01 11:10:10,561,,,765,5
104,2467,68,2015-07-01 11:11:41,561,,,54,4
105,930,68,2015-07-01 11:14:40,561,,,1091,4
106,2974,74,2015-07-02 13:22:55,561,,,968,1
107,2927,67,2015-07-03 11:12:46,3018,,,634,3
108,1180,68,2015-07-03 11:16:53,3019,,,848,2
109,3180,88,2015-07-31 16:09:10,18,,,1122,3
110,2666,90,2015-08-10 14:05:02,3485,,,217,1
112,3682,95,2015-08-31 10:28:40,561,,,143,4
114,1607,72,2015-09-05 11:10:41,18,,,225,1
115,3447,72,2015-09-05 11:13:18,18,,,761,5
116,2769,72,2015-09-05 11:14:26,18,,,302,5
117,3803,72,2015-09-05 11:16:45,18,,,808,2
118,3872,72,2015-09-05 11:18:49,18,,,1005,2
119,2250,72,2015-09-05 11:19:12,18,,,590,2
120,2465,72,2015-09-05 11:19:33,18,,,939,4
121,3198,72,2015-09-05 11:22:30,18,,,655,4
122,3381,72,2015-09-05 11:23:48,18,,,585,4
123,3263,72,2015-09-05 11:24:41,18,,,1049,4
125,699,102,2015-10-22 11:34:03,44,,,117,4
126,2927,107,2015-10-23 09:32:37,561,,,401,2
127,4723,107,2015-10-23 09:33:40,561,,,145,2
128,365,107,2015-10-23 09:34:41,561,,,258,4
129,5058,112,2015-11-16 10:39:25,5337,,,709,5
130,622,104,2015-11-20 16:41:55,561,,,403,2
131,4973,104,2015-11-20 18:12:45,561,,,719,4
132,2221,24,2015-11-20 19:12:14,20,,,340,4
133,4425,32,2015-11-20 19:17:00,18,,,1192,4
134,1235,113,2015-11-20 23:27:06,561,,,58,5
135,2523,113,2015-11-20 23:27:39,561,,,306,5
136,3363,113,2015-11-20 23:28:24,561,,,585,3
137,3321,107,2015-11-20 23:35:11,561,,,243,4
138,5064,107,2015-11-20 23:35:33,561,,,206,3
139,5091,107,2015-11-20 23:36:20,561,,,986,3
140,5108,107,2015-11-20 23:36:32,561,,,1135,5
141,4379,107,2015-11-20 23:37:24,561,,,240,5
142,5812,114,2015-12-21 20:47:24,561,,,186,1
143,5804,114,2015-12-21 20:47:38,561,,,477,5
144,5826,114,2015-12-21 20:47:44,561,,,265,5
145,5533,114,2015-12-21 20:47:50,561,,,378,4
146,2474,114,2015-12-21 20:48:04,561,,,1121,5
147,5826,115,2015-12-21 20:48:38,561,,,1173,4
148,6167,107,2016-02-01 20:07:56,561,,,130,4
,,,,,,,520,5
,,,,,,,496,2
,,,,,,,218,3
,,,,,,,862,4
,,,,,,,400,3
,,,,,,,456,1
,,,,,,,758,3
,,,,,,,812,5
,,,,,,,150,3
,,,,,,,455,4
,,,,,,,787,4
,,,,,,,401,4
,,,,,,,70,4
,,,,,,,488,5
,,,,,,,1139,2
,,,,,,,70,1
,,,,,,,147,2
,,,,,,,563,3
,,,,,,,472,1
,,,,,,,80,4
,,,,,,,211,1
,,,,,,,1185,1
,,,,,,,405,4
,,,,,,,483,4
,,,,,,,573,4
,,,,,,,486,4
,,,,,,,1022,5
,,,,,,,1022,3
,,,,,,,833,4
,,,,,,,623,4
,,,,,,,375,5
,,,,,,,239,4
,,,,,,,477,2
,,,,,,,623,3
,,,,,,,741,4
,,,,,,,927,4
,,,,,,,945,5
,,,,,,,635,5
,,,,,,,575,5
,,,,,,,460,1
,,,,,,,917,4
,,,,,,,235,4
,,,,,,,554,4
,,,,,,,510,2
,,,,,,,125,3
,,,,,,,1153,5
,,,,,,,740,4
,,,,,,,842,1
,,,,,,,1180,2
,,,,,,,932,4
,,,,,,,960,4
,,,,,,,1094,5
,,,,,,,99,1
,,,,,,,1131,2
,,,,,,,1077,2
,,,,,,,984,5
,,,,,,,1061,3
,,,,,,,345,3
,,,,,,,92,3
,,,,,,,1098,4
,,,,,,,774,4
,,,,,,,105,5
,,,,,,,455,5
,,,,,,,695,4
,,,,,,,62,4
,,,,,,,862,3
,,,,,,,584,3
,,,,,,,680,4
,,,,,,,639,4
,,,,,,,772,5
,,,,,,,926,3
,,,,,,,1105,4
,,,,,,,1185,4
,,,,,,,1134,4
,,,,,,,779,2
,,,,,,,617,5
,,,,,,,426,4
,,,,,,,389,5
,,,,,,,286,4
,,,,,,,763,3
,,,,,,,601,2
,,,,,,,913,5
,,,,,,,261,5
,,,,,,,339,2
,,,,,,,826,4
,,,,,,,172,3
,,,,,,,342,4
,,,,,,,500,4
,,,,,,,504,4
,,,,,,,242,5
,,,,,,,613,4
,,,,,,,362,5
,,,,,,,413,3
,,,,,,,536,4
,,,,,,,1043,4
,,,,,,,723,3
,,,,,,,816,4
,,,,,,,457,3
,,,,,,,109,4
,,,,,,,440,4
,,,,,,,58,5
,,,,,,,708,1
,,,,,,,228,5
,,,,,,,365,3
,,,,,,,603,4
,,,,,,,728,3
,,,,,,,498,5
,,,,,,,246,5
,,,,,,,1016,3
,,,,,,,797,1
,,,,,,,176,1
,,,,,,,701,1
,,,,,,,511,5
,,,,,,,358,5
,,,,,,,1141,5
,,,,,,,730,4
,,,,,,,390,3
,,,,,,,398,4
,,,,,,,891,5
,,,,,,,944,4
,,,,,,,1177,5
,,,,,,,384,3
,,,,,,,676,1
,,,,,,,829,2
,,,,,,,976,5
,,,,,,,921,4
,,,,,,,878,3
,,,,,,,160,1
,,,,,,,1156,1
,,,,,,,283,3
,,,,,,,465,4
,,,,,,,1114,4
,,,,,,,126,3
,,,,,,,169,5
,,,,,,,767,3
,,,,,,,287,5
,,,,,,,373,4
,,,,,,,428,1
,,,,,,,571,4
,,,,,,,836,3
,,,,,,,67,4
,,,,,,,1123,1
,,,,,,,981,5
,,,,,,,482,5
,,,,,,,1120,3
,,,,,,,564,4
,,,,,,,1030,4
,,,,,,,527,4
,,,,,,,1142,4
,,,,,,,400,3
,,,,,,,809,3
,,,,,,,1149,4
,,,,,,,330,3
,,,,,,,725,3
,,,,,,,910,4
,,,,,,,982,3
,,,,,,,60,4
,,,,,,,368,3
,,,,,,,992,4
,,,,,,,956,3
,,,,,,,644,3
,,,,,,,94,2
,,,,,,,819,3
,,,,,,,915,5
,,,,,,,360,4
,,,,,,,765,3
,,,,,,,895,4
,,,,,,,967,3
,,,,,,,524,4
,,,,,,,571,2
,,,,,,,200,5
,,,,,,,405,4
,,,,,,,602,2
,,,,,,,480,3
,,,,,,,1027,1
,,,,,,,691,4
,,,,,,,796,4
,,,,,,,847,5
,,,,,,,636,1
,,,,,,,927,4
,,,,,,,1065,4
,,,,,,,341,1
,,,,,,,854,5
,,,,,,,1162,3
,,,,,,,420,3
,,,,,,,1005,4
,,,,,,,213,5
,,,,,,,182,5
,,,,,,,479,4
,,,,,,,537,4
,,,,,,,573,3
,,,,,,,863,5
,,,,,,,623,3
,,,,,,,603,5
,,,,,,,779,4
,,,,,,,750,4
,,,,,,,589,4
,,,,,,,189,4
,,,,,,,557,4
,,,,,,,1168,5
,,,,,,,116,4
,,,,,,,524,3
,,,,,,,839,2
,,,,,,,919,1
,,,,,,,1045,5
,,,,,,,878,4
,,,,,,,1078,4
,,,,,,,427,3
,,,,,,,814,3
,,,,,,,212,2
,,,,,,,673,3
,,,,,,,1179,4
,,,,,,,358,3
,,,,,,,499,4
,,,,,,,829,4
,,,,,,,692,1
,,,,,,,392,3
,,,,,,,923,5
,,,,,,,412,3
,,,,,,,405,4
,,,,,,,1066,5
,,,,,,,334,3
,,,,,,,509,3
,,,,,,,642,4
,,,,,,,778,1
,,,,,,,474,3
,,,,,,,250,2
,,,,,,,85,2
,,,,,,,609,4
,,,,,,,197,5
,,,,,,,314,4
,,,,,,,1125,4
,,,,,,,507,5
,,,,,,,762,4
,,,,,,,310,2
,,,,,,,1172,3
,,,,,,,345,3
,,,,,,,875,3
,,,,,,,723,5
,,,,,,,353,4
,,,,,,,218,4
,,,,,,,933,4
,,,,,,,119,4
,,,,,,,765,2
,,,,,,,631,4
,,,,,,,188,5
,,,,,,,99,4
,,,,,,,1045,3
,,,,,,,220,3
,,,,,,,503,5
,,,,,,,495,4
,,,,,,,91,1
,,,,,,,333,5
,,,,,,,517,4
,,,,,,,676,4
,,,,,,,569,3
,,,,,,,118,1
,,,,,,,166,3
,,,,,,,415,5
,,,,,,,632,5
,,,,,,,351,5
,,,,,,,1192,4
,,,,,,,360,4
,,,,,,,215,4
,,,,,,,111,4
,,,,,,,775,5
,,,,,,,736,1
,,,,,,,658,1
,,,,,,,247,4
,,,,,,,446,2
,,,,,,,333,4
,,,,,,,326,3
,,,,,,,373,4
,,,,,,,604,4
,,,,,,,518,5
,,,,,,,447,5
,,,,,,,1086,5
,,,,,,,348,3
,,,,,,,1023,2
,,,,,,,561,3
,,,,,,,1088,2
,,,,,,,52,4
,,,,,,,739,5
,,,,,,,651,5
,,,,,,,1014,5
,,,,,,,814,3
,,,,,,,396,5
,,,,,,,148,2
,,,,,,,509,3
,,,,,,,504,5
,,,,,,,240,4
,,,,,,,1009,3
,,,,,,,331,3
,,,,,,,1112,4
,,,,,,,608,1
,,,,,,,639,2
,,,,,,,403,4
,,,,,,,469,4
,,,,,,,936,4
,,,,,,,194,3
,,,,,,,474,4
,,,,,,,72,3
,,,,,,,1018,4
,,,,,,,1183,4
,,,,,,,507,4
,,,,,,,706,4
,,,,,,,179,4
,,,,,,,1182,3
,,,,,,,1169,4
,,,,,,,820,3
,,,,,,,258,1
,,,,,,,1091,4
,,,,,,,110,2
,,,,,,,207,5
,,,,,,,1198,2
,,,,,,,855,4
,,,,,,,1058,3
,,,,,,,604,4
,,,,,,,1108,4
,,,,,,,291,4
,,,,,,,1077,5
,,,,,,,1072,3
,,,,,,,540,5
,,,,,,,1053,4
,,,,,,,1030,4
,,,,,,,706,4
,,,,,,,319,3
,,,,,,,517,4
,,,,,,,965,4
,,,,,,,1037,5
,,,,,,,375,3
,,,,,,,232,4
,,,,,,,487,4
,,,,,,,722,4
,,,,,,,568,4
,,,,,,,1156,3
,,,,,,,380,4
,,,,,,,419,4
,,,,,,,899,5
,,,,,,,799,5
,,,,,,,759,4
,,,,,,,512,1
,,,,,,,666,4
,,,,,,,51,3
,,,,,,,932,3
,,,,,,,929,4
,,,,,,,627,4
,,,,,,,1043,2
,,,,,,,865,4
,,,,,,,580,3
,,,,,,,434,4
,,,,,,,548,1
,,,,,,,884,5
,,,,,,,270,4
,,,,,,,475,3
,,,,,,,190,5
,,,,,,,879,3
,,,,,,,1152,4
,,,,,,,439,4
,,,,,,,1149,3
,,,,,,,1028,4
,,,,,,,587,3
,,,,,,,1080,1
,,,,,,,200,4
,,,,,,,364,3
,,,,,,,756,4
,,,,,,,886,4
,,,,,,,1120,3
,,,,,,,1195,4
,,,,,,,1165,4
,,,,,,,296,3
,,,,,,,156,5
,,,,,,,767,4
,,,,,,,1092,4
,,,,,,,888,4
,,,,,,,614,2
,,,,,,,833,5
,,,,,,,1061,4
,,,,,,,879,3
,,,,,,,339,1
,,,,,,,581,1
,,,,,,,504,4
,,,,,,,1137,1
,,,,,,,89,1
,,,,,,,820,5
,,,,,,,991,5
,,,,,,,70,3
,,,,,,,167,3
,,,,,,,699,5
,,,,,,,499,2
,,,,,,,1006,4
,,,,,,,1085,2
,,,,,,,663,1
,,,,,,,711,3
,,,,,,,365,5
,,,,,,,58,5
,,,,,,,151,3
,,,,,,,135,2
,,,,,,,521,4
,,,,,,,876,4
,,,,,,,90,4
,,,,,,,1193,5
,,,,,,,898,4
,,,,,,,1200,4
,,,,,,,140,3
,,,,,,,675,2
,,,,,,,793,2
,,,,,,,825,3
,,,,,,,529,3
,,,,,,,388,5
,,,,,,,886,4
,,,,,,,668,4
,,,,,,,429,3
,,,,,,,390,4
,,,,,,,632,4
,,,,,,,790,5
,,,,,,,98,4
,,,,,,,284,4
,,,,,,,294,5
,,,,,,,186,2
,,,,,,,117,4
,,,,,,,288,1
,,,,,,,443,5
,,,,,,,568,5
,,,,,,,710,4
,,,,,,,955,3
,,,,,,,772,4
,,,,,,,116,4
,,,,,,,1171,5
,,,,,,,971,5
,,,,,,,962,3
,,,,,,,944,3
,,,,,,,797,4
,,,,,,,176,5
,,,,,,,662,3
,,,,,,,1177,5
,,,,,,,116,2
,,,,,,,757,4
,,,,,,,98,4
,,,,,,,531,4
,,,,,,,1121,4
,,,,,,,1036,4
,,,,,,,1142,3
,,,,,,,1112,1
,,,,,,,685,5
,,,,,,,1025,4
,,,,,,,221,5
,,,,,,,253,3
,,,,,,,48,5
,,,,,,,569,5
,,,,,,,477,5
,,,,,,,275,5
,,,,,,,851,5
,,,,,,,1178,5
,,,,,,,546,4
,,,,,,,119,4
,,,,,,,807,4
,,,,,,,331,5
,,,,,,,904,5
,,,,,,,611,2
,,,,,,,108,5
,,,,,,,484,3
,,,,,,,146,3
,,,,,,,422,3
,,,,,,,162,1
,,,,,,,1090,4
,,,,,,,1185,3
,,,,,,,148,4
,,,,,,,704,3
,,,,,,,678,5
,,,,,,,878,2
,,,,,,,720,2
,,,,,,,1172,3
,,,,,,,686,1
,,,,,,,940,4
,,,,,,,780,5
,,,,,,,838,4
,,,,,,,471,3
,,,,,,,807,3
,,,,,,,918,4
,,,,,,,315,3
,,,,,,,81,4
,,,,,,,123,3
,,,,,,,427,5
,,,,,,,747,4
,,,,,,,782,4
,,,,,,,174,4
,,,,,,,72,5
,,,,,,,377,5
,,,,,,,97,2
,,,,,,,813,3
,,,,,,,651,4
,,,,,,,471,1
,,,,,,,959,2
,,,,,,,728,2
,,,,,,,601,4
,,,,,,,210,2
,,,,,,,586,3
,,,,,,,417,3
,,,,,,,1065,5
,,,,,,,53,3
,,,,,,,439,4
,,,,,,,63,5
,,,,,,,358,4
,,,,,,,220,2
,,,,,,,673,5
,,,,,,,268,3
,,,,,,,798,5
,,,,,,,664,5
,,,,,,,758,4
,,,,,,,431,4
,,,,,,,947,5
,,,,,,,1184,5
,,,,,,,1043,2
,,,,,,,901,5
,,,,,,,416,2
,,,,,,,913,4
,,,,,,,71,3
,,,,,,,1050,5
,,,,,,,348,4
,,,,,,,396,3
,,,,,,,120,3
,,,,,,,832,3
,,,,,,,1035,3
,,,,,,,989,5
,,,,,,,507,5
,,,,,,,838,1
,,,,,,,711,1
,,,,,,,814,4
,,,,,,,60,3
,,,,,,,371,2
,,,,,,,851,2
,,,,,,,582,4
,,,,,,,669,4
,,,,,,,1067,2
,,,,,,,651,5
,,,,,,,449,3
,,,,,,,812,5
,,,,,,,879,5
,,,,,,,1107,3
,,,,,,,115,4
,,,,,,,982,4
,,,,,,,950,3
,,,,,,,692,4
,,,,,,,527,5
,,,,,,,639,5
,,,,,,,1030,4
,,,,,,,1070,3
,,,,,,,1124,2
,,,,,,,1134,4
,,,,,,,677,1
,,,,,,,1192,3
,,,,,,,461,1
,,,,,,,786,1
,,,,,,,402,1
,,,,,,,317,5
,,,,,,,296,1
,,,,,,,516,5
,,,,,,,555,5
,,,,,,,445,4
,,,,,,,549,4
,,,,,,,450,2
,,,,,,,572,5
,,,,,,,710,1
,,,,,,,988,4
,,,,,,,331,2
,,,,,,,943,3
,,,,,,,1134,4
,,,,,,,747,5
,,,,,,,329,2
,,,,,,,1093,4
,,,,,,,1076,5
,,,,,,,238,4
,,,,,,,104,4
,,,,,,,318,4
,,,,,,,282,4
,,,,,,,58,4
,,,,,,,824,5
,,,,,,,537,3
,,,,,,,510,1
,,,,,,,100,1
,,,,,,,573,5
,,,,,,,538,3
,,,,,,,702,1
,,,,,,,1129,5
,,,,,,,1135,5
,,,,,,,1150,4
,,,,,,,212,5
,,,,,,,257,4
,,,,,,,1027,4
,,,,,,,785,4
,,,,,,,951,5
,,,,,,,872,5
,,,,,,,804,3
,,,,,,,838,5
,,,,,,,566,3
,,,,,,,373,5
,,,,,,,662,5
,,,,,,,187,4
,,,,,,,235,3
,,,,,,,650,4
,,,,,,,127,3
,,,,,,,827,3
,,,,,,,69,5
,,,,,,,1154,3
,,,,,,,79,1
,,,,,,,508,3
,,,,,,,545,4
,,,,,,,712,5
,,,,,,,837,1
,,,,,,,77,4
,,,,,,,926,1
,,,,,,,794,5
,,,,,,,737,3
,,,,,,,586,4
,,,,,,,146,3
,,,,,,,657,3
,,,,,,,404,4
,,,,,,,671,2
,,,,,,,1095,5
,,,,,,,1165,3
,,,,,,,872,3
,,,,,,,961,4
,,,,,,,164,5
,,,,,,,359,3
,,,,,,,447,2
,,,,,,,1029,3
,,,,,,,291,4
,,,,,,,711,5
,,,,,,,993,4
,,,,,,,1059,4
,,,,,,,572,4
,,,,,,,600,4
,,,,,,,728,1
,,,,,,,434,4
,,,,,,,417,5
,,,,,,,802,1
,,,,,,,506,3
,,,,,,,463,4
,,,,,,,43,1
,,,,,,,564,5
,,,,,,,366,5
,,,,,,,487,5
,,,,,,,1114,5
,,,,,,,267,4
,,,,,,,155,4
,,,,,,,701,5
,,,,,,,887,4
,,,,,,,828,5
,,,,,,,1096,4
,,,,,,,274,4
,,,,,,,766,3
,,,,,,,702,4
,,,,,,,236,4
,,,,,,,1122,3
,,,,,,,378,3
,,,,,,,678,1
,,,,,,,1198,4
,,,,,,,300,4
,,,,,,,529,3
,,,,,,,81,4
,,,,,,,695,4
,,,,,,,279,4
,,,,,,,1184,4
,,,,,,,811,4
,,,,,,,673,5
,,,,,,,283,5
,,,,,,,88,3
,,,,,,,706,3
,,,,,,,312,3
,,,,,,,548,4
,,,,,,,680,5
,,,,,,,56,4
,,,,,,,229,3
,,,,,,,887,4
,,,,,,,225,5
,,,,,,,1145,3
,,,,,,,874,5
,,,,,,,497,4
,,,,,,,1081,3
,,,,,,,1086,4
,,,,,,,858,4
,,,,,,,478,3
,,,,,,,559,2
,,,,,,,816,4
,,,,,,,922,3
,,,,,,,589,2
,,,,,,,617,3
,,,,,,,218,2
,,,,,,,1100,3
,,,,,,,199,3
,,,,,,,90,3
,,,,,,,858,4
,,,,,,,188,3
,,,,,,,471,4
,,,,,,,1163,4
,,,,,,,763,2
,,,,,,,1019,1
,,,,,,,332,4
,,,,,,,193,4
,,,,,,,878,4
,,,,,,,343,1
,,,,,,,458,4
,,,,,,,222,5
,,,,,,,1043,4
,,,,,,,273,3
,,,,,,,772,4
,,,,,,,705,4
,,,,,,,677,3
,,,,,,,1040,3
,,,,,,,1070,1
,,,,,,,364,4
,,,,,,,670,5
,,,,,,,516,5
,,,,,,,228,5
,,,,,,,1126,1
,,,,,,,1128,3
,,,,,,,48,3
,,,,,,,514,5
,,,,,,,372,4
,,,,,,,782,5
,,,,,,,147,5
,,,,,,,812,2
,,,,,,,1060,3
,,,,,,,767,3
,,,,,,,157,3
,,,,,,,604,5
,,,,,,,1069,5
,,,,,,,535,1
,,,,,,,1047,1
,,,,,,,898,5
,,,,,,,437,5
,,,,,,,1161,3
,,,,,,,203,4
,,,,,,,876,4
,,,,,,,360,4
,,,,,,,553,4
,,,,,,,494,5
,,,,,,,362,5
,,,,,,,1021,2
,,,,,,,736,4
,,,,,,,461,4
,,,,,,,1113,4
,,,,,,,755,4
,,,,,,,374,5
,,,,,,,287,4
,,,,,,,395,5
,,,,,,,660,3
,,,,,,,881,5
,,,,,,,492,3
,,,,,,,541,4
,,,,,,,169,3
,,,,,,,1195,3
,,,,,,,989,5
,,,,,,,697,3
,,,,,,,273,3
,,,,,,,44,5
,,,,,,,1150,4
,,,,,,,489,5
,,,,,,,992,4
,,,,,,,934,4
,,,,,,,611,3
,,,,,,,333,4
,,,,,,,302,3
,,,,,,,1177,3
,,,,,,,457,3
,,,,,,,162,5
,,,,,,,576,3
,,,,,,,456,2
,,,,,,,1102,5
,,,,,,,161,3
,,,,,,,876,3
,,,,,,,303,4
,,,,,,,587,3
,,,,,,,1018,5
,,,,,,,1072,3
,,,,,,,139,2
,,,,,,,964,1
,,,,,,,789,1
,,,,,,,369,4
,,,,,,,111,2
,,,,,,,351,3
,,,,,,,445,2
,,,,,,,845,4
,,,,,,,948,4
,,,,,,,395,5
,,,,,,,894,4
,,,,,,,1120,3
,,,,,,,666,3
,,,,,,,549,5
,,,,,,,451,3
,,,,,,,478,4
,,,,,,,953,3
,,,,,,,1019,2
,,,,,,,326,4
,,,,,,,1061,5
,,,,,,,443,4
,,,,,,,873,4
,,,,,,,882,4
,,,,,,,873,3
,,,,,,,128,2
,,,,,,,1197,1
,,,,,,,428,2
,,,,,,,650,1
,,,,,,,870,4
,,,,,,,254,3
,,,,,,,956,3
,,,,,,,971,4
,,,,,,,1005,5
,,,,,,,77,4
,,,,,,,107,1
,,,,,,,733,5
,,,,,,,681,5
,,,,,,,936,4
,,,,,,,1083,4
,,,,,,,59,4
,,,,,,,907,5
,,,,,,,273,2
,,,,,,,300,5
,,,,,,,431,3
,,,,,,,201,3
,,,,,,,578,3
,,,,,,,997,3
,,,,,,,809,4
,,,,,,,1086,1
,,,,,,,202,4
,,,,,,,1012,5
,,,,,,,869,3
,,,,,,,472,5
,,,,,,,1182,5
,,,,,,,988,5
,,,,,,,698,3
,,,,,,,306,4
,,,,,,,71,3
,,,,,,,742,3
,,,,,,,623,2
,,,,,,,776,3
,,,,,,,790,5
,,,,,,,77,3
,,,,,,,915,2
,,,,,,,918,2
,,,,,,,540,5
,,,,,,,367,3
,,,,,,,1188,4
,,,,,,,1131,2
,,,,,,,850,4
,,,,,,,96,5
,,,,,,,520,5
,,,,,,,54,5
,,,,,,,580,3
,,,,,,,1087,5
,,,,,,,285,4
,,,,,,,1078,5
,,,,,,,690,5
,,,,,,,186,3
,,,,,,,962,1
,,,,,,,140,3
,,,,,,,731,4
,,,,,,,170,1
,,,,,,,831,3
,,,,,,,1141,3
,,,,,,,425,5
,,,,,,,215,4
,,,,,,,1022,2
,,,,,,,409,5
,,,,,,,937,3
,,,,,,,568,5
,,,,,,,658,4
,,,,,,,810,2
,,,,,,,366,3
,,,,,,,52,3
,,,,,,,85,3
,,,,,,,687,1
,,,,,,,419,4
,,,,,,,351,4
,,,,,,,1129,1
,,,,,,,935,4
,,,,,,,971,3
,,,,,,,991,5
,,,,,,,970,4
,,,,,,,1077,5
,,,,,,,238,2
,,,,,,,190,3
,,,,,,,900,3
,,,,,,,161,3
,,,,,,,426,2
,,,,,,,1163,3
,,,,,,,315,3
,,,,,,,257,4
,,,,,,,1022,3
,,,,,,,714,4
,,,,,,,609,3
,,,,,,,1149,4
,,,,,,,72,4
,,,,,,,406,5
,,,,,,,213,4
,,,,,,,188,4
,,,,,,,62,5
,,,,,,,132,1
,,,,,,,752,4
,,,,,,,1141,5
,,,,,,,684,4
,,,,,,,144,5
,,,,,,,1157,4
,,,,,,,1141,5
,,,,,,,1114,2
,,,,,,,52,3
,,,,,,,625,3
